Zaman damgası,Onaylıyor musunuz?,Yaşınız?,Cinsiyetiniz?,"Renklerin kokusu olsa, sizi en iyi yansıtan renk hangisi olurdu?","Bir ortama girdiğinde nasıl ""tanınmak"" istersiniz ? ",Hangi koku ailesi size daha yakın?,"Sıklıkla kullandığınız bir parfüm var mı, varsa ismi nedir? ",Kullandığınız parfümden ne kadar memnunsunuz?,Nasıl bir cilt tipine sahipsiniz?,Hangi tür parfümleri tercih edersiniz?,İdeal parfümünüzün yoğunluğu nasıl olmalı?,Günün hangi zamanlarında parfüm kullanma ihtimalin daha yüksek?,Bir parfümde hangisi sizin için daha önemli?”,Geçmişteki herhangi bir anınızla bağdaştırdığınız bir kokudan kısaca bahseder misiniz?  Bu koku nedir?,"Kokuyla bağdaştırdığınız anınızı kısaca anlatabilir misiniz? 

(örnek: Maya kokusu, bana annemin hazırladığı o şirin ekmekleri hatırlatır)",Bu anıyı düşündüğünüzde hangi duyguyu daha baskın hissediyorsunuz?,Duygunuzun baskınlık seviyesi nedir?
13.02.2026 11:12:56,"Okudum, onaylıyorum",19,Erkek,Lacivert,Gizemli ve Çekici,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Zara Pour Homme II,4,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,-,-,Tutku ve Heyecan,4
13.02.2026 13:10:37,"Okudum, onaylıyorum",21,Erkek,kahverengi ,Gizemli ve Çekici,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",dior savage elixir ,4,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,toprak,yağmurdan sonra hafif esinti ile gelen toprak kokusi,Tutku ve Heyecan,5
13.02.2026 13:54:40,"Okudum, onaylıyorum",22,Erkek,Mavi,Taze ve Enerjik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Guc guilty love,4,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,"sevgilimin saçlarının kokusu, keçi sütlü bir şampuan ",Dediğim gibi onun saçları ,Huzur ve Güven,4
13.02.2026 14:55:52,"Okudum, onaylıyorum",24,Erkek,Koyu yeşil,Tatlı ve Sempatik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Hatemoğlu legend,5,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Yeni kesilmiş çimen kokusu,Küçükken babamın ya da vefat dedemin evimizin bahçesindeki çimleri kestiği anlar gözümün önüne geliyor huzur veriyor ,Huzur ve Güven,3
13.02.2026 14:55:55,"Okudum, onaylıyorum",22,Erkek,Pembe,Gizemli ve Çekici,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Calvin Klein - Be,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,Taze fırından çıkmış ekmek kokusu,Fırının önünden geçmiştim,Huzur ve Güven,1
13.02.2026 15:18:49,"Okudum, onaylıyorum",18,Erkek,Turuncu,Gizemli ve Çekici,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Jazz club,4,Yağlı,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,Fresh kokular 9. Sınıf anılarımı cagrıstırıyor bana,"Rom notası, bana nostaljik bir film sahnesındeymısım gıbı hıssettırır",Özlem ve Nostalji,3
13.02.2026 15:22:48,"Okudum, onaylıyorum",20,Kadın,Pembe,Taze ve Enerjik,"Aromatic (Aromatik): Fesleğen, Adaçayı",Viva La vita,3,Kuru,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,Lavanta kokusu,Lavanta oldum olası severim çiçeğinide çok severim ,Huzur ve Güven,5
13.02.2026 15:28:07,"Okudum, onaylıyorum",20,Kadın,Sarı,Taze ve Enerjik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Atraccion,5,Hassas,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.","Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Bu koku tam bir ilkbaharın gelişi kokusu öyle temiz öyle ferah,Çiçek kokusu babamın aldığı çiçekleri hatırlatır,Neşe ve Enerji,3
13.02.2026 15:30:13,"Okudum, onaylıyorum",56,Kadın,Beyaz,Doğal ve Duru,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Gucci bloom,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,Hatırlamıyorum sorun yaşamadım,Deniz kokusu çocukluğumu hatırlatır,Huzur ve Güven,1
13.02.2026 15:33:36,"Okudum, onaylıyorum",21,Erkek,"Turkuaz, bordo",Tatlı ve Sempatik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Yok,3,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,Hoş şekerli bir koku,Anlatamam,Tutku ve Heyecan,4
13.02.2026 15:47:45,"Okudum, onaylıyorum",19,Kadın,mavi,Taze ve Enerjik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",sürekli değişir,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,sümbül kokusu,bahçemizde geçirdiğim küçüklüğümü hatırlatır,Masumiyet ve Tazelik,5
13.02.2026 15:50:09,"Okudum, onaylıyorum",20,Kadın,kahverengi,Taze ve Enerjik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",plein soleil yves eocher,4,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,uzun bir süre sonra çok özlediğim arkadaşımın kokusu. erkek kokusu.,bulamadım,Huzur ve Güven,5
13.02.2026 16:08:04,"Okudum, onaylıyorum",21,Kadın,Pembe,Güçlü ve Otoriter,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Marc Jacobs Perfect ,5,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Annemin parfümü,Annemin parfümü o hazırlanırken yanında durmayı hatırlatır,Masumiyet ve Tazelik,4
13.02.2026 16:15:53,"Okudum, onaylıyorum",19,Kadın,Vanilya beyazı ,Zarif ve Romantik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Zara ray of wonder rose ,5,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Yaz akşamları sevdiğim insanlar ile sahilde yürürken burnuma gelen hafif kokum.Vs’ın velvet petals kokusu ,Amber kokusu yazlıkta ailem ile muhabbet ettigimiz anlari hatırlatır ,Özlem ve Nostalji,5
13.02.2026 16:18:50,"Okudum, onaylıyorum",19,Kadın,Pembe-Kahve,Tatlı ve Sempatik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Varens Vanilla Caramel,5,Yağlı,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",Şişe tasarımı,Vişne orman meyvesi kokusu,Çocukluk anılarımı hatırlatıyor,Masumiyet ve Tazelik,3
13.02.2026 16:21:45,"Okudum, onaylıyorum",20,Kadın,Açık gri ve pembe,Doğal ve Duru,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Loris floral k201 numara ,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Bir kere bir gün içinde 3 kişi parfümümü istemiş veya markasını sormuştu. Hocam da sınıfa gelince bu güzel koku kimden geliyor diyince herkes beni göstermişti,Çiçek kokusu annemin adını anımsatır ,Masumiyet ve Tazelik,3
13.02.2026 16:24:13,"Okudum, onaylıyorum",20,Kadın,Pembe,Tatlı ve Sempatik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Burberry Her EDT,5,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Tazelenmek istediğim her an (Spor sonrası veya gün içi),İçerik kalitesi,Eski sevgilimin kokusunu yoldan geçerken aldığımda yaşadığımız birlite geçirdiğimiz anlara bir gidip geliyorum. ,Eski sevgilimin kokusunu yoldan geçerken aldığımda yaşadığımız birlite geçirdiğimiz anlara bir gidip geliyorum. ,Özlem ve Nostalji,1
13.02.2026 16:27:20,"Okudum, onaylıyorum",23,Kadın,Laci,Taze ve Enerjik,Water (Sucul): Deniz tuzu,Loris,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Sanki çiçeklerin arasında koşuşturan çocuklar gibi,Kuş cıvıltısı güneşin doğuşu kıpır kıpır bir hissiyat,Neşe ve Enerji,4
13.02.2026 16:37:21,"Okudum, onaylıyorum",19,Kadın,Kahverengi ,Doğal ve Duru,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Mad,4,Hassas,"Eau de Cologne (EDC):Yoğun kokulara hassasiyeti olanlar için uygun, gün içinde sıkça tazelenebilen en hafif seçenektir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Vanilya,Vanilya bana huzuru anımsatıyor,Huzur ve Güven,4
13.02.2026 16:43:47,"Okudum, onaylıyorum",20,Kadın,Turuncu ,Doğal ve Duru,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",Zara-Golden decade ,4,Hassas,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,"Zara pink flambe, ilk kullandığım parfümdür ",Bana geçmişte hissettiğim güzel anları hatırlatır,Masumiyet ve Tazelik,4
13.02.2026 17:03:56,"Okudum, onaylıyorum",49,Kadın,Pembe,Gizemli ve Çekici,"Mossy Woods (Yosunlu Odunsu): Meşe yosunu, Paçuli",Evidens,5,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Çiçek,Çiçek kokusu bana tazeliği anlatır,Neşe ve Enerji,3
13.02.2026 17:16:57,"Okudum, onaylıyorum",18,Erkek,sarı,Tatlı ve Sempatik,"Citrus (Narenciye): Limon kabuğu, Yeşil elma",versace eros,4,Kuru,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.",Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,yok,yok,Huzur ve Güven,3
13.02.2026 17:33:42,"Okudum, onaylıyorum",19,Erkek,yeşil,Taze ve Enerjik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",vip black 212,4,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,kullandığım parfümü eski bir arkadaşımla almıştık onu hatırlıyorum,çam ağacı kokusu,Huzur ve Güven,2
13.02.2026 17:35:49,"Okudum, onaylıyorum",21,Erkek,Yeşil,Taze ve Enerjik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",H,5,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,K,Hj,Tutku ve Heyecan,3
13.02.2026 18:17:53,"Okudum, onaylıyorum",43,Erkek,Mavi,Doğal ve Duru,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Yok,3,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,Yok,Pisuvara konan kokulu plastik,Tutku ve Heyecan,3
13.02.2026 18:21:24,"Okudum, onaylıyorum",18,Erkek,pembe,Güçlü ve Otoriter,"Fruity (Meyveli): Şeftali, Ahududu",burberry her,1,Yağlı,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,kiraz cicegi kolonyasi ,pandemi,Özlem ve Nostalji,5
13.02.2026 18:21:55,"Okudum, onaylıyorum",20,Erkek,Mavi,Doğal ve Duru,"Aromatic (Aromatik): Fesleğen, Adaçayı",EfU801,4,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Limon kokusu,Sigara kokusu,Huzur ve Güven,4
13.02.2026 18:23:59,"Okudum, onaylıyorum",31,Erkek,Sarı,Gizemli ve Çekici,"Green (Yeşil): Çimen, Nane",Fahrenheit,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",Ulaşılabilir fiyat,Fahrenheit,Saygi duydugum bir insanin parfümü,Özlem ve Nostalji,3
13.02.2026 18:33:19,"Okudum, onaylıyorum",18,Kadın,Yeşil,Tatlı ve Sempatik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",VS coconut ,4,Kuru,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Şişe tasarımı,Yaz kokusu ,Tropikal meyveler yazı hatırlatır,Neşe ve Enerji,4
13.02.2026 19:47:07,"Okudum, onaylıyorum",27,Kadın,Soft ,Gizemli ve Çekici,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Mad V112 ,5,Yağlı,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Celebrety ,Yok ,Huzur ve Güven,5
13.02.2026 19:51:00,"Okudum, onaylıyorum",28,Kadın,Kırmızı,Gizemli ve Çekici,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Victoria secret bare,5,Normal,"Eau de Cologne (EDC):Yoğun kokulara hassasiyeti olanlar için uygun, gün içinde sıkça tazelenebilen en hafif seçenektir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Çiçeksi  ve tatlı kokular bana her zaman yazı ve sıcaklığı anımsatır oyüzden victoria secret bare,Çiçek kokusu yazı anımsatır ,Masumiyet ve Tazelik,5
13.02.2026 19:52:07,"Okudum, onaylıyorum",28,Kadın,Kırmızı,Taze ve Enerjik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Prada,4,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Evet çiçeksi ,Heran ,Neşe ve Enerji,4
13.02.2026 20:00:31,"Okudum, onaylıyorum",18,Kadın,pembe,Zarif ve Romantik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",chanel chance,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,prestijli ve yoğun bir kokuydu,annemin parfümü ne zaman kokusu burnuma gelse onu hatırlıyorum,Huzur ve Güven,5
13.02.2026 20:23:23,"Okudum, onaylıyorum",21,Erkek,Kahverengi ,Taze ve Enerjik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",Ersağ :),3,Normal,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,Yok ,Yok,Tutku ve Heyecan,3
